timestamp,A9,A7,A8,A10,B9,B7,B8,B10,D9,D7,D8,D10,T9,T7,T8,T10,G9,G7,G8,G10
0,0.652696967124939,0.0,0.0,0.7133148908615112,0.39862877130508423,0.0,0.0,0.3320869505405426,0.18489299714565277,0.0,0.0,0.12006867676973343,0.0015091018285602331,0.0,0.0,-0.2039458304643631,-0.09624286741018295,0.0,0.0,-0.008760353550314903
1,0.6407705545425415,0.0,0.0,0.7475008368492126,0.39385655522346497,0.0,0.0,0.32725945115089417,0.16850927472114563,0.0,0.0,0.08620410412549973,-0.011806524358689785,0.0,0.0,-0.2140767127275467,-0.09527574479579926,0.0,0.0,-0.019361164420843124
2,0.6512519121170044,0.0,0.0,0.79712975025177,0.39005085825920105,0.0,0.0,0.3274895250797272,0.14285053312778473,0.0,0.0,0.044414691627025604,-0.04642336443066597,0.0,0.0,-0.23874551057815552,-0.08646266162395477,0.0,0.0,-0.029949411749839783
3,0.730871856212616,0.0,0.0,0.8394387364387512,0.38897204399108887,0.0,0.0,0.3280324339866638,0.11096196621656418,0.0,0.0,-0.0027477797120809555,-0.09538982063531876,0.0,0.0,-0.273050993680954,-0.07382198423147202,0.0,0.0,-0.03353147581219673
4,0.7760456800460815,0.0,0.0,0.8761528134346008,0.39095431566238403,0.0,0.0,0.32607215642929077,0.07460733503103256,0.0,0.0,-0.05495987832546234,-0.14134173095226288,0.0,0.0,-0.3065798282623291,-0.061339788138866425,0.0,0.0,-0.026118112727999687
5,0.7872744798660278,0.0,0.0,0.9344635605812073,0.39423272013664246,0.0,0.0,0.3225806951522827,0.03389585390686989,0.0,0.0,-0.11135530471801758,-0.16244374215602875,0.0,0.0,-0.3282221853733063,-0.05359039083123207,0.0,0.0,-0.007774000987410545
6,0.7808526158332825,0.0,0.0,0.9135670065879822,0.3955671191215515,0.0,0.0,0.317064106464386,-0.0029778815805912018,0.0,0.0,-0.16182656586170197,-0.1700347363948822,0.0,0.0,-0.3301071524620056,-0.053228214383125305,0.0,0.0,-0.0064333598129451275
7,0.7808526158332825,0.0,0.0,0.9121915102005005,0.3985981345176697,0.0,0.0,0.30790120363235474,-0.049210116267204285,0.0,0.0,-0.2226480394601822,-0.15714964270591736,0.0,0.0,-0.3295770585536957,-0.05221031233668327,0.0,0.0,0.0006926984642632306
8,0.7808526158332825,0.0,0.0,0.9121915102005005,0.4007554054260254,0.0,0.0,0.2953619062900543,-0.07955789566040039,0.0,0.0,-0.26925894618034363,-0.13523954153060913,0.0,0.0,-0.33871912956237793,-0.04551143944263458,0.0,0.0,0.01189595740288496
9,0.7808526158332825,0.0,0.0,0.9121915102005005,0.39959678053855896,0.0,0.0,0.2852075397968292,-0.08680302649736404,0.0,0.0,-0.300494521856308,-0.11485124379396439,0.0,0.0,-0.3592151403427124,-0.031655795872211456,0.0,0.0,0.023925194516777992
10,0.7808526158332825,0.0,0.0,0.9121915102005005,0.39634382724761963,0.0,0.0,0.28473901748657227,-0.09676625579595566,0.0,0.0,-0.34114348888397217,-0.10464142262935638,0.0,0.0,-0.3825945258140564,-0.01284778118133545,0.0,0.0,0.03680119290947914
11,0.7808526158332825,0.0,0.0,0.9121915102005005,0.39482051134109497,0.0,0.0,0.2953885793685913,-0.1495683640241623,0.0,0.0,-0.4084635078907013,-0.10849003493785858,0.0,0.0,-0.40114715695381165,0.009479135274887085,0.0,0.0,0.053168199956417084
12,0.7755196690559387,0.0,0.0,0.9121915102005005,0.39792686700820923,0.0,0.0,0.3119657635688782,-0.25670430064201355,0.0,0.0,-0.493076354265213,-0.1280720829963684,0.0,0.0,-0.4163770377635956,0.03395159915089607,0.0,0.0,0.07408766448497772
13,0.7744162678718567,0.0,0.0,0.9121915102005005,0.4037569761276245,0.0,0.0,0.3297317326068878,-0.40288689732551575,0.0,0.0,-0.5785037279129028,-0.16388610005378723,0.0,0.0,-0.4314553439617157,0.05920201539993286,0.0,0.0,0.09456558525562286
14,0.7671988010406494,0.0,0.0,0.9111180901527405,0.4095907509326935,0.0,0.0,0.34678202867507935,-0.5465434193611145,0.0,0.0,-0.6360150575637817,-0.20832861959934235,0.0,0.0,-0.4396854341030121,0.08300603926181793,0.0,0.0,0.10973194986581802
15,0.7588462829589844,0.0,0.0,0.9085439443588257,0.41691893339157104,0.0,0.0,0.36021509766578674,-0.6098992228507996,0.0,0.0,-0.6612118482589722,-0.2433965653181076,0.0,0.0,-0.4327954649925232,0.10245797783136368,0.0,0.0,0.12116564065217972
16,0.7588462829589844,0.0,0.0,0.905476987361908,0.4299843907356262,0.0,0.0,0.36711040139198303,-0.5805135369300842,0.0,0.0,-0.672092080116272,-0.2493431568145752,0.0,0.0,-0.4108674228191376,0.11295372992753983,0.0,0.0,0.13585211336612701
17,0.7588462829589844,0.0,0.0,0.905476987361908,0.4299843907356262,0.0,0.0,0.36711040139198303,-0.5805135369300842,0.0,0.0,-0.672092080116272,-0.2493431568145752,0.0,0.0,-0.4108674228191376,0.11295372992753983,0.0,0.0,0.13585211336612701
18,0.7588462829589844,0.0,0.0,0.905476987361908,0.4299843907356262,0.0,0.0,0.36711040139198303,-0.5805135369300842,0.0,0.0,-0.672092080116272,-0.2493431568145752,0.0,0.0,-0.4108674228191376,0.11295372992753983,0.0,0.0,0.13585211336612701
19,0.7588462829589844,0.0,0.0,0.905476987361908,0.4299843907356262,0.0,0.0,0.36711040139198303,-0.5805135369300842,0.0,0.0,-0.672092080116272,-0.2493431568145752,0.0,0.0,-0.4108674228191376,0.11295372992753983,0.0,0.0,0.13585211336612701
