timestamp,A9,A7,A8,A10,B9,B7,B8,B10,D9,D7,D8,D10,T9,T7,T8,T10,G9,G7,G8,G10
0,0.37639135122299194,0.0,-0.07874487340450287,0.372114360332489,0.14116141200065613,0.0,-0.309965580701828,0.10869218409061432,-0.18927697837352753,0.0,-0.5748679637908936,0.06933670490980148,-0.06888889521360397,0.0,-0.23864537477493286,-0.007616355549544096,-0.4286254346370697,0.0,-0.2931634485721588,-0.2871064841747284
1,0.3705635666847229,0.0,-0.07874109596014023,0.42154964804649353,0.1424054056406021,0.0,-0.29018333554267883,0.13456213474273682,-0.17330577969551086,0.0,-0.591163694858551,0.09782426804304123,-0.04645083099603653,0.0,-0.2267138510942459,0.029651254415512085,-0.40235137939453125,0.0,-0.31063008308410645,-0.2867392301559448
2,0.37225720286369324,0.0,-0.07346214354038239,0.45227891206741333,0.14379644393920898,0.0,-0.2738395631313324,0.15260042250156403,-0.15109868347644806,0.0,-0.5925666689872742,0.11799471080303192,-0.015742171555757523,0.0,-0.21108728647232056,0.05588758364319801,-0.3645961284637451,0.0,-0.3255482614040375,-0.27770861983299255
3,0.37225720286369324,0.0,-0.07346214354038239,0.45227891206741333,0.14477582275867462,0.0,-0.26552948355674744,0.1650245487689972,-0.13015836477279663,0.0,-0.5780682563781738,0.12788645923137665,0.021102460101246834,0.0,-0.20242546498775482,0.06825204938650131,-0.32477158308029175,0.0,-0.34078386425971985,-0.26676174998283386
4,0.386064738035202,0.0,0.06940057873725891,0.45917177200317383,0.14373667538166046,0.0,-0.26574447751045227,0.1716315746307373,-0.1126348152756691,0.0,-0.549285352230072,0.13296186923980713,0.05778193846344948,0.0,-0.20877771079540253,0.06757055222988129,-0.29050540924072266,0.0,-0.35510674118995667,-0.26267069578170776
5,0.35935115814208984,0.0,0.12142070382833481,0.4405181407928467,0.13782623410224915,0.0,-0.2722458839416504,0.1681928187608719,-0.10187830030918121,0.0,-0.5118410587310791,0.1310725063085556,0.08727972209453583,0.0,-0.22441931068897247,0.060151729732751846,-0.26302722096443176,0.0,-0.36284923553466797,-0.2719633877277374
6,0.3569980561733246,0.0,0.18466287851333618,0.4250893294811249,0.1266804188489914,0.0,-0.2799729108810425,0.15357688069343567,-0.09729740023612976,0.0,-0.46867623925209045,0.1198170855641365,0.10772648453712463,0.0,-0.2323155701160431,0.056230805814266205,-0.23916296660900116,0.0,-0.35887858271598816,-0.29677507281303406
7,0.3569980561733246,0.0,0.20526733994483948,0.4042512774467468,0.11187100410461426,0.0,-0.2846434712409973,0.14323917031288147,-0.0945029929280281,0.0,-0.43170851469039917,0.11043356359004974,0.12272562831640244,0.0,-0.21969392895698547,0.07244319468736649,-0.22771619260311127,0.0,-0.3444294035434723,-0.31937816739082336
8,0.3569980561733246,0.0,0.20614071190357208,0.3486784100532532,0.10291393101215363,0.0,-0.28668224811553955,0.13885872066020966,-0.09741787612438202,0.0,-0.40095704793930054,0.08768419921398163,0.14393098652362823,0.0,-0.18909771740436554,0.09479764103889465,-0.21602308750152588,0.0,-0.32457244396209717,-0.34649813175201416
9,0.3569980561733246,0.0,0.20614071190357208,0.31555017828941345,0.10242123901844025,0.0,-0.28684577345848083,0.14447274804115295,-0.10128338634967804,0.0,-0.2992691397666931,0.056368138641119,0.16728125512599945,0.0,-0.13572800159454346,0.11780447512865067,-0.20527318120002747,0.0,-0.30515480041503906,-0.3667445480823517
