timestamp,A9,A7,A8,A10,B9,B7,B8,B10,D9,D7,D8,D10,T9,T7,T8,T10,G9,G7,G8,G10
0,0.31004998087882996,0.0,-0.041864920407533646,0.4946725368499756,0.07842599600553513,0.0,-0.10751428455114365,0.1387903243303299,-0.1958770751953125,0.0,-0.39963284134864807,-0.17820701003074646,-0.10707129538059235,0.0,-0.46727436780929565,-0.11980962008237839,-0.13348357379436493,0.0,-0.3625558018684387,-0.2037263810634613
1,0.3469560444355011,0.0,-0.04177498817443848,0.4928925335407257,0.08991347253322601,0.0,-0.09610531479120255,0.14942294359207153,-0.23486441373825073,0.0,-0.4187939763069153,-0.21074138581752777,-0.1023443341255188,0.0,-0.5107602477073669,-0.12349914014339447,-0.1386580765247345,0.0,-0.35891690850257874,-0.20666304230690002
2,0.43441203236579895,0.0,-0.04177498817443848,0.48823460936546326,0.11439494788646698,0.0,-0.078913114964962,0.16419851779937744,-0.25775423645973206,0.0,-0.43313664197921753,-0.24456679821014404,-0.09555621445178986,0.0,-0.5378606915473938,-0.13497981429100037,-0.14875780045986176,0.0,-0.34827423095703125,-0.2135130912065506
3,0.47844818234443665,0.0,-0.041682664304971695,0.4844815135002136,0.14424720406532288,0.0,-0.06208091974258423,0.18070967495441437,-0.25695547461509705,0.0,-0.46655529737472534,-0.2781405448913574,-0.09159683436155319,0.0,-0.5505357980728149,-0.15422409772872925,-0.15763595700263977,0.0,-0.33327996730804443,-0.21759861707687378
4,0.47854697704315186,0.0,0.000809790042694658,0.5019429922103882,0.17090120911598206,0.0,-0.05157455801963806,0.19303150475025177,-0.24741294980049133,0.0,-0.5205413699150085,-0.3008514940738678,-0.0945669412612915,0.0,-0.5459948778152466,-0.1646372526884079,-0.16239534318447113,0.0,-0.31584423780441284,-0.2184309959411621
5,0.47687581181526184,0.0,0.060405272990465164,0.5086897611618042,0.1882878690958023,0.0,-0.05042961984872818,0.19566288590431213,-0.24747659265995026,0.0,-0.5817747712135315,-0.31275975704193115,-0.10845046490430832,0.0,-0.5311611890792847,-0.15439383685588837,-0.16091448068618774,0.0,-0.29593923687934875,-0.21906845271587372
6,0.4761619567871094,0.0,0.10097327828407288,0.5086897611618042,0.19513991475105286,0.0,-0.057143937796354294,0.1906619817018509,-0.2653917074203491,0.0,-0.6134256720542908,-0.31874993443489075,-0.13423852622509003,0.0,-0.5206090807914734,-0.1306789070367813,-0.15768972039222717,0.0,-0.27404093742370605,-0.22188186645507812
7,0.4761619567871094,0.0,0.18665684759616852,0.504909098148346,0.19310592114925385,0.0,-0.06544483453035355,0.18340176343917847,-0.28879475593566895,0.0,-0.6036607027053833,-0.3118729293346405,-0.16836486756801605,0.0,-0.5231558680534363,-0.10879667848348618,-0.15442441403865814,0.0,-0.25258156657218933,-0.2264171540737152
8,0.4718751013278961,0.0,0.3058896064758301,0.5405220985412598,0.18833805620670319,0.0,-0.06760237365961075,0.17897549271583557,-0.2989189326763153,0.0,-0.5611628293991089,-0.28176748752593994,-0.20497749745845795,0.0,-0.5346493124961853,-0.09342984110116959,-0.14637568593025208,0.0,-0.2348732054233551,-0.23037908971309662
9,0.4797765910625458,0.0,0.4252820611000061,0.634124219417572,0.19207856059074402,0.0,-0.06081636995077133,0.17910565435886383,-0.29156485199928284,0.0,-0.495848685503006,-0.22769053280353546,-0.23824739456176758,0.0,-0.5460239052772522,-0.08238636702299118,-0.12996146082878113,0.0,-0.22235266864299774,-0.2312278151512146
10,0.5340471863746643,0.0,0.5448537468910217,0.718658983707428,0.21799233555793762,0.0,-0.04597065597772598,0.18503153324127197,-0.2688504457473755,0.0,-0.40692615509033203,-0.16379301249980927,-0.26843613386154175,0.0,-0.5353003740310669,-0.07663614302873611,-0.10571253299713135,0.0,-0.2168513834476471,-0.22806629538536072
11,0.6098069548606873,0.0,0.6416329741477966,0.8051227927207947,0.268602192401886,0.0,-0.023886004462838173,0.19531045854091644,-0.24377457797527313,0.0,-0.2927497923374176,-0.10948226600885391,-0.2931061387062073,0.0,-0.4828210771083832,-0.07867544144392014,-0.08054469525814056,0.0,-0.21842792630195618,-0.22401149570941925
12,0.6786959767341614,0.0,0.7132066488265991,0.9043723344802856,0.3324003219604492,0.0,0.003523328108713031,0.20622104406356812,-0.22051352262496948,0.0,-0.1749744862318039,-0.07234007865190506,-0.310731440782547,0.0,-0.3984076976776123,-0.0873495563864708,-0.05425073951482773,0.0,-0.22416721284389496,-0.2184271663427353
13,0.7195302844047546,0.0,0.7388712763786316,0.9662286639213562,0.3949013948440552,0.0,0.030314840376377106,0.21405135095119476,-0.19954590499401093,0.0,-0.08603695034980774,-0.051692355424165726,-0.32212382555007935,0.0,-0.31573164463043213,-0.10170111805200577,-0.02363498881459236,0.0,-0.23053117096424103,-0.21068169176578522
14,0.7531004548072815,0.0,0.7388712763786316,0.9861107468605042,0.44734320044517517,0.0,0.04780110716819763,0.2189241647720337,-0.17356596887111664,0.0,-0.03303801640868187,-0.03568226844072342,-0.32964760065078735,0.0,-0.25814440846443176,-0.12086977809667587,0.013307965360581875,0.0,-0.23581629991531372,-0.19942021369934082
15,0.7871934771537781,0.0,0.7388712763786316,0.9929425120353699,0.4852761924266815,0.0,0.05105319991707802,0.2216726541519165,-0.1496785283088684,0.0,-0.0026502732653170824,-0.0102948984131217,-0.3411937952041626,0.0,-0.22744593024253845,-0.1441711038351059,0.053342945873737335,0.0,-0.24064169824123383,-0.184236079454422
16,0.8247755169868469,0.0,0.7388712763786316,1.000240445137024,0.5073586702346802,0.0,0.04181450605392456,0.22085292637348175,-0.12283778935670853,0.0,0.016405392438173294,0.04590259864926338,-0.35076284408569336,0.0,-0.20944392681121826,-0.16404199600219727,0.09230510145425797,0.0,-0.2450268417596817,-0.16457387804985046
17,0.9014869928359985,0.0,0.7388712763786316,1.0077120065689087,0.5156443119049072,0.0,0.02758142165839672,0.21376505494117737,-0.08637307584285736,0.0,0.027100855484604836,0.14918266236782074,-0.3506229817867279,0.0,-0.1905355602502823,-0.1729813665151596,0.12695284187793732,0.0,-0.2488507479429245,-0.13965542614459991
18,0.9748979806900024,0.0,0.7388712763786316,1.0100593566894531,0.5145250558853149,0.0,0.016240697354078293,0.19907358288764954,-0.08637307584285736,0.0,0.027100855484604836,0.14918266236782074,-0.3261605501174927,0.0,-0.1693686693906784,-0.17051713168621063,0.15387529134750366,0.0,-0.25338685512542725,-0.11368071287870407
