timestamp,A9,A7,A8,A10,B9,B7,B8,B10,D9,D7,D8,D10,T9,T7,T8,T10,G9,G7,G8,G10
0,0.5033887624740601,0.0,-0.15571729838848114,0.6098983883857727,0.16639167070388794,0.0,-0.07272502034902573,0.05282116308808327,-0.42305243015289307,0.0,-0.1549038589000702,-0.10499240458011627,-0.2970079779624939,0.0,-0.1486426144838333,-0.21887348592281342,-0.17424480617046356,0.0,0.2952951490879059,-0.49996575713157654
1,0.4997859001159668,0.0,-0.14216378331184387,0.622840940952301,0.1498807817697525,0.0,-0.06096223369240761,0.045742981135845184,-0.5139601230621338,0.0,-0.14251498878002167,-0.17400170862674713,-0.29098495841026306,0.0,-0.1394597440958023,-0.2474997490644455,-0.17759253084659576,0.0,0.31363680958747864,-0.5010449886322021
2,0.5013831853866577,0.0,-0.09351187199354172,0.6229634881019592,0.13631655275821686,0.0,-0.048244908452034,0.03360071778297424,-0.5587403178215027,0.0,-0.14112123847007751,-0.2120441049337387,-0.28209736943244934,0.0,-0.12773007154464722,-0.26435911655426025,-0.1789776235818863,0.0,0.3204193711280823,-0.4978075921535492
3,0.5222296118736267,0.0,-0.05839967727661133,0.6229634881019592,0.12703962624073029,0.0,-0.03716135397553444,0.014889135956764221,-0.5687629580497742,0.0,-0.1578233242034912,-0.23848138749599457,-0.27953019738197327,0.0,-0.12184752523899078,-0.2842637300491333,-0.18443693220615387,0.0,0.319193035364151,-0.49430567026138306
4,0.5554953813552856,0.0,-0.0413779690861702,0.6314080357551575,0.11989004909992218,0.0,-0.032163966447114944,-0.00908074900507927,-0.5586587190628052,0.0,-0.19828955829143524,-0.267068475484848,-0.2839755713939667,0.0,-0.12766651809215546,-0.315848708152771,-0.19762280583381653,0.0,0.3143499791622162,-0.49222686886787415
5,0.5976066589355469,0.0,-0.034468792378902435,0.6295607089996338,0.10973417013883591,0.0,-0.03618118539452553,-0.033726587891578674,-0.5324649810791016,0.0,-0.25147509574890137,-0.3020668029785156,-0.2886411249637604,0.0,-0.14162814617156982,-0.35862427949905396,-0.2165866196155548,0.0,0.30730873346328735,-0.49012577533721924
6,0.5869947671890259,0.0,-0.034757521003484726,0.6197810769081116,0.09221316128969193,0.0,-0.047238752245903015,-0.052973173558712006,-0.5087119936943054,0.0,-0.29244908690452576,-0.3328253924846649,-0.289203941822052,0.0,-0.15613625943660736,-0.3935594856739044,-0.229341521859169,0.0,0.2984737753868103,-0.48008790612220764
7,0.5855996608734131,0.0,-0.048954855650663376,0.6197147965431213,0.06879937648773193,0.0,-0.06055762246251106,-0.06181536242365837,-0.4997742176055908,0.0,-0.30516985058784485,-0.35338813066482544,-0.28617432713508606,0.0,-0.168836772441864,-0.3876398503780365,-0.22498534619808197,0.0,0.28930896520614624,-0.4607134461402893
8,0.5855996608734131,0.0,-0.055023081600666046,0.6220320463180542,0.052512027323246,0.0,-0.07151008397340775,-0.059511493891477585,-0.48952558636665344,0.0,-0.3009267747402191,-0.3417859971523285,-0.27301228046417236,0.0,-0.18313796818256378,-0.3159816563129425,-0.2366894632577896,0.0,0.2819586396217346,-0.4374414384365082
9,0.5855996608734131,0.0,-0.055023081600666046,0.6220320463180542,0.042201898992061615,0.0,-0.078013114631176,-0.05332464352250099,-0.4804173707962036,0.0,-0.2859799861907959,-0.3435578942298889,-0.2618649899959564,0.0,-0.1986657828092575,-0.30410435795783997,-0.2442285120487213,0.0,0.27515092492103577,-0.43193358182907104
10,0.5855996608734131,0.0,-0.04879946634173393,0.6220320463180542,0.03822881355881691,0.0,-0.07903337478637695,-0.047880545258522034,-0.4689792990684509,0.0,-0.2651674449443817,-0.3494302034378052,-0.2558031380176544,0.0,-0.20661331713199615,-0.29178160429000854,-0.24689926207065582,0.0,0.26471227407455444,-0.4242498278617859
11,0.5855996608734131,0.0,-0.04879946634173393,0.6220320463180542,0.03437064588069916,0.0,-0.07401051372289658,-0.045867692679166794,-0.4561106264591217,0.0,-0.20565828680992126,-0.34897056221961975,-0.25834766030311584,0.0,-0.19676975905895233,-0.28090667724609375,-0.238228902220726,0.0,0.24836163222789764,-0.41140568256378174
12,0.5810988545417786,0.0,-0.04879946634173393,0.6220320463180542,0.022943055257201195,0.0,-0.06596048176288605,-0.048289891332387924,-0.4396234452724457,0.0,-0.11420277506113052,-0.3435926139354706,-0.27364155650138855,0.0,-0.16929930448532104,-0.276079922914505,-0.21884384751319885,0.0,0.22656378149986267,-0.3933807909488678
13,0.56435227394104,0.0,-0.04879946634173393,0.6220320463180542,0.0012822163989767432,0.0,-0.06081010773777962,-0.05487971380352974,-0.4201960563659668,0.0,-0.021402858197689056,-0.34010717272758484,-0.3032169044017792,0.0,-0.1285606026649475,-0.2801530063152313,-0.19572466611862183,0.0,0.19976802170276642,-0.3728474974632263
14,0.5429595708847046,0.0,-0.04879946634173393,0.6220320463180542,-0.022163327783346176,0.0,-0.06429334729909897,-0.06354465335607529,-0.4007174074649811,0.0,0.056464437395334244,-0.34536322951316833,-0.34482133388519287,0.0,-0.07723318040370941,-0.2929815649986267,-0.17764529585838318,0.0,0.16746042668819427,-0.35349029302597046
15,0.5192753076553345,0.0,-0.04879946634173393,0.6021472811698914,-0.0325227826833725,0.0,-0.07726255804300308,-0.06916866451501846,-0.38412755727767944,0.0,0.13240160048007965,-0.3612074553966522,-0.38827988505363464,0.0,-0.020149990916252136,-0.30306312441825867,-0.17069843411445618,0.0,0.13329829275608063,-0.3395370841026306
16,0.5041429996490479,0.0,-0.03679043799638748,0.5275824666023254,-0.026335978880524635,0.0,-0.0944749042391777,-0.06557977199554443,-0.3637443482875824,0.0,0.23219652473926544,-0.38435646891593933,-0.4238841235637665,0.0,0.039923980832099915,-0.29745832085609436,-0.16901612281799316,0.0,0.1070755273103714,-0.32812607288360596
